workflow,category,has_supply_chain_signal,status
argocd-diff-gate.yml,other,NO,N/A
auto-sync-deploy.yaml,deploy,YES,COVERED
ci-failure-to-issue.yaml,other,NO,N/A
ci.yaml,other,NO,N/A
codeql.yml,other,NO,N/A
drift-detection.yaml,other,NO,N/A
eco-deploy.yml,deploy,YES,COVERED
eco-supplychain-attest.yml,other,YES,COVERED
eco-supplychain-hashlock.yml,other,YES,COVERED
immutable-rules-gate.yml,other,NO,N/A
immutable-rules-status-report.yml,other,NO,N/A
pat-expiry-check.yml,other,NO,N/A
pat-secret-scan.yml,other,NO,N/A
policy-check.yml,other,NO,N/A
policy-exception-expiry-gate.yml,other,NO,N/A
policy-gate.yml,other,NO,N/A
supply-chain-gate.yml,other,YES,COVERED
weekly-chaos-drill.yml,other,NO,N/A
